15:51:37
time to do symbolics	= 0.3829507827758789s 
time to do numerics	= 650.8793499469757s 
n_steps	err (1st ord.)	err (2nd ord.)	err (3rd ord.)  
1.0	0.5485005057308925	0.5485005057308925	0.5485005057308925 
1.0	0.5485005057308925	0.5485005057308925	0.5485005057308925 
2.0	0.9284734715785906	nan	nan 
2.0	0.9284734715785906	nan	nan 
3.0	0.25668168977022154	nan	nan 
3.0	0.25668168977022154	nan	nan 
4.0	0.673956060142127	nan	nan 
5.0	0.2680588246025549	nan	nan 
7.0	0.4359092100143529	nan	nan 
8.0	0.719734119304344	nan	nan 
10.0	0.4079486569688166	nan	inf 
13.0	0.3023242760408003	2.9732020495346667e+56	inf 
17.0	0.22279640103966328	18197221620.43715	inf 
21.0	0.1445976252414131	137.47690469328202	inf 
27.0	0.18734857100627214	0.5053452709139225	14.016537589817869 
34.0	0.0176474317650146	0.11332514937618057	0.21355248902471205 
43.0	0.06571396453996314	0.21631177483036015	0.0958122176478621 
54.0	0.09634284026089912	0.049297454745719865	0.3698353858159614 
69.0	0.009653949706192155	0.06980466511910297	0.05635150894009669 
87.0	0.006705637678001114	0.030101391937783856	0.034633347424245425 
110.0	0.010801662883177354	0.007846074561283667	0.00917194052575837 
139.0	0.015878559660775754	0.003894476775333139	0.004113897920446724 
176.0	0.012544622814481265	0.005346066451632908	0.005540693386019535 
222.0	0.011134405469803627	0.006928450555291038	0.0070271993439683655 
281.0	0.001929927342266352	0.0005995897774797865	0.0005573312898329019 
356.0	0.001637368688741453	4.1035625028357225e-05	6.0201481125982115e-05 
450.0	0.0009891148228169666	2.856591807265385e-07	8.331238074837932e-06 
569.0	0.000613427266740324	1.1230472944379066e-06	2.3412513291687365e-06 
720.0	0.00038160140182780244	6.297574687563756e-07	1.0386512617199806e-06 
910.0	0.00023835618089648736	2.8363849555179677e-07	7.472813375597465e-07 
1151.0	0.0001487839326903273	1.1867476903959506e-07	7.624585314502941e-07 
1456.0	9.289434410200692e-05	4.8145450209924334e-08	9.075096182031839e-07 
1842.0	5.800498275260191e-05	1.928096246550659e-08	1.1262748704776726e-06 
2330.0	3.6236562698688246e-05	7.576350297133772e-09	1.4100872964828426e-06 
2947.0	2.2644719878034403e-05	3.01942404412614e-09	1.7710196721087978e-06 
3728.0	1.4147524708268966e-05	1.0340777956141523e-09	2.199532729285636e-06 
4715.0	8.842996955082949e-06	4.0795428146722656e-10	2.7795341079328573e-06 
5964.0	5.526321756404995e-06	4.1621456281504265e-11	3.62319156169133e-06 
7543.0	3.4544962500826504e-06	3.386371738578475e-11	4.556642554914836e-06 
9541.0	2.1590168145235733e-06	7.714995309271444e-11	5.73949176707611e-06 
12068.0	1.3494320590667908e-06	7.604053497978214e-11	7.2602600620919056e-06 
15264.0	8.434665871026592e-07	4.8838266764050786e-11	9.206887586599155e-06 
19307.0	5.271836032438859e-07	3.4617703148498435e-10	1.1552976542789084e-05 
24421.0	3.2949922978975366e-07	1.483928813161839e-10	1.4640046261449324e-05 
30888.0	2.0596516225879213e-07	8.855546851371798e-11	1.8503054023261134e-05 
39069.0	1.2873676230595876e-07	2.592329129136317e-10	2.354958468220314e-05 
49417.0	8.046546184914405e-08	3.492350852951631e-11	2.9663513551131393e-05 
62506.0	5.029387839527999e-08	6.175398525876119e-10	3.7545148727446964e-05 
79060.0	3.143706314712169e-08	4.46869208303724e-11	4.779603114388187e-05 
100000.0	1.9649582072567284e-08	2.0731458216793897e-10	6.028348032166564e-05 
