18:49:25
time to do symbolics	= 39.884828090667725s 
time to do numerics	= 612.4471638202667s 
n_steps	err (1st ord.)	err (2nd ord.)  
1.0	2.0	2.0
1.0	2.0	2.0
2.0	1.310123874257403	1.3101238742574137
2.0	1.310123874257403	1.3101238742574137
3.0	1.3101238742574028	nan
3.0	1.3101238742574028	nan
4.0	4.2517724642284564	15.108992004115391
5.0	14.738759811061875	nan
7.0	0.14713287651859397	nan
8.0	4.176786798249575	2115837.2249895157
10.0	5.720556128235194	1710683294.6201992
13.0	0.6374414861785752	2.3523223546279629e+288
17.0	6.421524999583074	1.1086575601125292e+181
21.0	0.06604294597698646	1.153623555709626e+121
27.0	1.4949360302476007	3.368556433317915e+70
34.0	1.7149345376343197	7116166161846528.0
43.0	1.1007598281855626	8.341584211006982e+17
54.0	0.689646059605375	11273.34712733723
69.0	0.5291941926749936	1.2438121907142847
87.0	0.26334554723507075	1.566322070998243
110.0	0.4167690458079204	0.28879601445580066
139.0	0.0516251598088204	0.6163697345910956
176.0	0.26275743142375	0.44735853105408113
222.0	0.20581489459561342	0.1221086354208733
281.0	0.0860868868193806	0.0231257451362361
356.0	0.02318537366190117	0.004290815439799547
450.0	0.01407732697055427	0.001665715869449533
569.0	0.00860336097950426	0.0006662521819216177
720.0	0.005301384658792252	0.000262793212602562
910.0	0.003291968286940443	0.00010359974135519747
1151.0	0.002047381272144002	4.061067998745749e-05
1456.0	0.0012754002180420023	1.5888123970183238e-05
1842.0	0.0007952602973711803	6.208364249729425e-06
2330.0	0.0004963742146512696	2.4262066149082965e-06
2947.0	0.0003100210143602328	9.482840227681487e-07
3728.0	0.00019362255756694445	3.703460651777311e-07
4715.0	0.00012099911756447744	1.4472990662677376e-07
5964.0	7.560680237704673e-05	5.656517758320321e-08
7543.0	4.7257778801825484e-05	2.208772980155768e-08
9541.0	2.9533970864347812e-05	8.587431941937723e-09
12068.0	1.845879857589731e-05	3.2987167453112824e-09
15264.0	1.1537475988651971e-05	1.3402335484726988e-09
19307.0	7.211064061971493e-06	5.136737030391967e-10
24421.0	4.506994562789924e-06	2.0013242664933373e-10
30888.0	2.8172624703386587e-06	1.2809497889431287e-10
39069.0	1.7608998844362948e-06	7.862702253826989e-11
49417.0	1.1005799844968893e-06	9.217520411393784e-11
62506.0	6.879334500470669e-07	1.0246472361792149e-10
79060.0	4.3003944562293175e-07	1.3650229012287308e-11
100000.0	2.687238549530122e-07	3.455742831708346e-11
